is_2_11_7uM,,is_2_11_15uM1,,is_2_11_31uM,,is_2_11_62uM,,is_2_11_125uM,,is_2_11_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
783.9447021,-0.002111502457,783.9447021,-0.0004477516632,783.9447021,0.0004619477259,783.9447021,0.001660337672,783.9447021,0.004840186331,783.9447021,0.01405552309,
783.5256958,0.0003857168485,783.5256958,-0.0007121600211,783.5256958,-0.0001143491536,783.5256958,0.002128295833,783.5256958,0.005309908185,783.5256958,0.01408464089,
782.96698,-0.001670878963,782.96698,-0.0002375164622,782.96698,-0.0005375775509,782.96698,0.002039106097,782.96698,0.004988420755,782.96698,0.01399895083,
782.5478516,-0.001464743866,782.5478516,-0.0005056726513,782.5478516,0.0002155282709,782.5478516,0.002228952479,782.5478516,0.005245555192,782.5478516,0.01468725316,
781.9889526,-0.001746788039,781.9889526,-0.0005964171723,781.9889526,-0.0002493655775,781.9889526,0.002025504131,781.9889526,0.005201776046,781.9889526,0.01442449633,
781.5697021,-0.001111569349,781.5697021,-0.000316780468,781.5697021,-0.0002589895448,781.5697021,0.001868606429,781.5697021,0.005236777943,781.5697021,0.01430722233,
781.0105591,-0.001569525921,781.0105591,-0.0006626926479,781.0105591,-0.0003519065503,781.0105591,0.00226543285,781.0105591,0.004860918503,781.0105591,0.01439792383,
780.4512939,-0.001294696354,780.4512939,-0.0004532855237,780.4512939,-0.001065865858,780.4512939,0.002179518808,780.4512939,0.005001435056,780.4512939,0.01449809317,
780.0317383,-0.001770042814,780.0317383,-0.0007824487984,780.0317383,6.658381608E-5,780.0317383,0.001928560901,780.0317383,0.004711994901,780.0317383,0.01447494235,
779.47229,-0.001689909026,779.47229,-0.0009427266777,779.47229,-0.0009499073494,779.47229,0.002285365714,779.47229,0.005319944583,779.47229,0.01463413239,
779.0526123,-0.001704709604,779.0526123,-0.0008517961251,779.0526123,-0.0002900848049,779.0526123,0.001671069651,779.0526123,0.005022593308,779.0526123,0.01437560841,
778.4929199,-0.001750706928,778.4929199,-0.001045930432,778.4929199,-0.001234815572,778.4929199,0.00176475849,778.4929199,0.005007038824,778.4929199,0.01445762627,
