is_2_8_7uM,,is_2_8_15uM,,is_2_8_31uM,,is_2_8_62uM,,is_2_8_125uM1,,is_2_8_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
784.5031738,-0.001925369375,784.5031738,-0.00147552765,784.5031738,-0.001818765537,784.5031738,-0.001672426239,784.5031738,-9.390414198E-5,784.5031738,1.830176552E-5,
783.9447021,-0.0022936936,783.9447021,-0.001467684866,783.9447021,-0.002118869917,783.9447021,-0.001473979675,783.9447021,-0.0006065504276,783.9447021,-0.0003136246814,
783.5256958,-0.001968353987,783.5256958,-0.001667010947,783.5256958,-0.0019048549,783.5256958,-0.001333717722,783.5256958,-0.0001279096177,783.5256958,0.0001595904323,
782.96698,-0.001886091894,782.96698,-0.00106302544,782.96698,-0.002004480688,782.96698,-0.001946553006,782.96698,-0.0006226287223,782.96698,0.0002367658162,
782.5478516,-0.00164426642,782.5478516,-0.0018890301,782.5478516,-0.001863925951,782.5478516,-0.00101912464,782.5478516,-0.0002120060963,782.5478516,-5.239003804E-5,
781.9889526,-0.002177341143,781.9889526,-0.001806959161,781.9889526,-0.002208763035,781.9889526,-0.001687588403,781.9889526,-0.0007559884689,781.9889526,3.854591705E-5,
781.5697021,-0.002531091683,781.5697021,-0.00212505227,781.5697021,-0.00229961588,781.5697021,-0.00193562638,781.5697021,-0.0001650693303,781.5697021,-9.809673793E-5,
781.0105591,-0.0022456937,781.0105591,-0.001990463352,781.0105591,-0.002315786202,781.0105591,-0.001666753087,781.0105591,-0.0004309428041,781.0105591,-3.613530862E-5,
780.4512939,-0.002390089445,780.4512939,-0.001742044115,780.4512939,-0.002626354108,780.4512939,-0.00159299653,780.4512939,-0.000703631551,780.4512939,-0.0001730908552,
780.0317383,-0.002286019968,780.0317383,-0.00200561434,780.0317383,-0.002154314192,780.0317383,-0.001708216383,780.0317383,-0.0009737730725,780.0317383,-0.0005037075607,
779.47229,-0.002553738188,779.47229,-0.002532172482,779.47229,-0.002407028573,779.47229,-0.001912947395,779.47229,-0.0006937073194,779.47229,-0.000353096344,
779.0526123,-0.002924512606,779.0526123,-0.002096612705,779.0526123,-0.001705741044,779.0526123,-0.001679749461,779.0526123,-0.001082908479,779.0526123,-0.0003410948557,
778.4929199,-0.002743152203,778.4929199,-0.002416089876,778.4929199,-0.002153541427,778.4929199,-0.002073117765,778.4929199,-0.001238119556,778.4929199,-8.339658234E-5,
777.9331055,-0.002535518026,777.9331055,-0.002435653703,777.9331055,-0.002914279234,777.9331055,-0.002148853615,777.9331055,-0.001043709577,777.9331055,-0.0003041054006,
777.5131836,-0.001823199331,777.5131836,-0.002053125529,777.5131836,-0.002654707525,777.5131836,-0.001777261379,777.5131836,-0.001487704227,777.5131836,-0.0002993457019,
776.953186,-0.0027532354,776.953186,-0.002200985095,776.953186,-0.002359453123,776.953186,-0.002304559806,776.953186,-0.001309200772,776.953186,-0.0001863389916,
776.5330811,-0.002685631858,776.5330811,-0.002073942218,776.5330811,-0.002599902917,776.5330811,-0.002216901397,776.5330811,-0.001016593771,776.5330811,-0.0007280276623,
