mbg_3_138_250uM,,mbg_3_138_7uM,,mbg_3_138_15uM,,mbg_3_138_31uM,,mbg_3_138_62uM,,mbg_3_138_125uM,,mbg_3_138_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
787.4333496,-0.001128403586,787.4333496,-0.001952377032,787.4333496,-0.00171718921,787.4333496,-0.001889287843,787.4333496,-0.001406950643,787.4333496,-0.001939543523,787.4333496,-0.001128403586,
787.0149536,-0.001589076244,787.0149536,-0.002746547572,787.0149536,-0.002427313477,787.0149536,-0.002319081919,787.0149536,-0.00252393703,787.0149536,-0.002577464562,787.0149536,-0.001589076244,
786.4569702,-0.0008736522286,786.4569702,-0.002278037602,786.4569702,-0.002191455569,786.4569702,-0.001881452627,786.4569702,-0.001776384772,786.4569702,-0.002073169453,786.4569702,-0.0008736522286,
786.0384521,-0.0004654390796,786.0384521,-0.002021177206,786.0384521,-0.001724099158,786.0384521,-0.002267531119,786.0384521,-0.002393590519,786.0384521,-0.001979125431,786.0384521,-0.0004654390796,
785.4802856,-0.0007976421039,785.4802856,-0.001919081085,785.4802856,-0.001755605335,785.4802856,-0.001736165723,785.4802856,-0.001715126447,785.4802856,-0.001935059321,785.4802856,-0.0007976421039,
785.0615845,-0.001454991754,785.0615845,-0.001834335038,785.0615845,-0.00195325329,785.0615845,-0.002718765987,785.0615845,-0.001906968188,785.0615845,-0.002245487645,785.0615845,-0.001454991754,
784.5031738,-0.0007381062023,784.5031738,-0.002021228662,784.5031738,-0.00184139784,784.5031738,-0.002344159875,784.5031738,-0.002072345,784.5031738,-0.001893360051,784.5031738,-0.0007381062023,
783.9447021,-0.001579069067,783.9447021,-0.002236061962,783.9447021,-0.002168326406,783.9447021,-0.002111141803,783.9447021,-0.001847635722,783.9447021,-0.002351368777,783.9447021,-0.001579069067,
783.5256958,-0.001129074837,783.5256958,-0.00207275711,783.5256958,-0.002381645376,783.5256958,-0.002325621899,783.5256958,-0.002242345829,783.5256958,-0.002541437047,783.5256958,-0.001129074837,
782.96698,-0.001408034354,782.96698,-0.002436992247,782.96698,-0.002071108436,782.96698,-0.002395598451,782.96698,-0.001616775407,782.96698,-0.002330462448,782.96698,-0.001408034354,
782.5478516,-0.001153240562,782.5478516,-0.002141177654,782.5478516,-0.002359967912,782.5478516,-0.002327784663,782.5478516,-0.002493773354,782.5478516,-0.002402652288,782.5478516,-0.001153240562,
781.9889526,-0.001246431028,781.9889526,-0.002089193556,781.9889526,-0.002208248014,781.9889526,-0.002512561623,781.9889526,-0.002365271561,781.9889526,-0.002545657568,781.9889526,-0.001246431028,
781.5697021,-0.001484711654,781.5697021,-0.002474418143,781.5697021,-0.002450480359,781.5697021,-0.002284990158,781.5697021,-0.002136334777,781.5697021,-0.002975111362,781.5697021,-0.001484711654,
781.0105591,-0.001559415134,781.0105591,-0.002765273442,781.0105591,-0.002127988962,781.0105591,-0.002551422222,781.0105591,-0.002506796503,781.0105591,-0.002411816735,781.0105591,-0.001559415134,
780.4512939,-0.001760864747,780.4512939,-0.003140082117,780.4512939,-0.003030074295,780.4512939,-0.002768359846,780.4512939,-0.0021871801,780.4512939,-0.002640196588,780.4512939,-0.001760864747,
780.0317383,-0.001645762124,780.0317383,-0.002766816644,780.0317383,-0.002464122605,780.0317383,-0.002563517075,780.0317383,-0.002601961372,780.0317383,-0.001870214939,780.0317383,-0.001645762124,
779.47229,-0.002172292909,779.47229,-0.002675392432,779.47229,-0.002628000919,779.47229,-0.002733171452,779.47229,-0.002906616544,779.47229,-0.002683264902,779.47229,-0.002172292909,
779.0526123,-0.001738228253,779.0526123,-0.002318721497,779.0526123,-0.002757453825,779.0526123,-0.002530216472,779.0526123,-0.002463350305,779.0526123,-0.002631551586,779.0526123,-0.001738228253,
778.4929199,-0.002055547433,778.4929199,-0.002117015189,778.4929199,-0.002533098916,778.4929199,-0.002786930418,778.4929199,-0.002667931607,778.4929199,-0.002694790252,778.4929199,-0.002055547433,
777.9331055,-0.001848563668,777.9331055,-0.002647040412,777.9331055,-0.002696179552,777.9331055,-0.003303962294,777.9331055,-0.002933871932,777.9331055,-0.002610041061,777.9331055,-0.001848563668,
777.5131836,-0.002375518205,777.5131836,-0.002848809352,777.5131836,-0.003021179931,777.5131836,-0.003242970677,777.5131836,-0.002868353622,777.5131836,-0.002744901227,777.5131836,-0.002375518205,
776.953186,-0.001731937286,776.953186,-0.003127694828,776.953186,-0.002812135732,776.953186,-0.002829521196,776.953186,-0.00265244348,776.953186,-0.002955212025,776.953186,-0.001731937286,
776.5330811,-0.001790202805,776.5330811,-0.002539635636,776.5330811,-0.002923175693,776.5330811,-0.003107288154,776.5330811,-0.002465821337,776.5330811,-0.002680280712,776.5330811,-0.001790202805,
775.9728394,-0.001707030227,775.9728394,-0.003373267828,775.9728394,-0.002510039369,775.9728394,-0.002995112678,775.9728394,-0.002872570883,775.9728394,-0.003115512663,775.9728394,-0.001707030227,
775.5526123,-0.001729771495,775.5526123,-0.002963336417,775.5526123,-0.002966421656,775.5526123,-0.003185207956,775.5526123,-0.002918393118,775.5526123,-0.003193019656,775.5526123,-0.001729771495,
