is_2_9_7uM,,is_2_9_15uM1,,is_2_9_31uM2,,is_2_9_15uM,,is_2_9_31uM,,is_2_9_62uM,,is_2_9_125uM,,is_2_9_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
788.5487061,-0.001374232234,788.5487061,-0.001192016411,788.5487061,-0.001747303642,788.5487061,0.0005228228401,788.5487061,0.001630299957,788.5487061,0.001005149563,788.5487061,-0.0001175063953,788.5487061,0.0007339174626,
787.9910889,-0.0009536267607,787.9910889,-0.001109348843,787.9910889,-0.001492296113,787.9910889,0.0004140362726,787.9910889,0.001228705514,787.9910889,0.0003088517406,787.9910889,0.0002380349324,787.9910889,0.001294595189,
787.4333496,-0.001393223647,787.4333496,-0.001822735299,787.4333496,-0.0008902372792,787.4333496,0.0008363780216,787.4333496,0.0009445181349,787.4333496,0.0008578015841,787.4333496,2.415227937E-5,787.4333496,0.001756649232,
787.0149536,-0.001887844526,787.0149536,-0.001249941415,787.0149536,-0.001673096674,787.0149536,0.0004367864167,787.0149536,0.0007666420424,787.0149536,0.0002126017207,787.0149536,-0.0002575407852,787.0149536,0.000818171422,
786.4569702,-0.001670878963,786.4569702,-0.001569835469,786.4569702,-0.001267234795,786.4569702,0.0002662411134,786.4569702,0.0008191569359,786.4569702,0.0008707444067,786.4569702,-2.38662069E-5,786.4569702,0.000931650924,
786.0384521,-0.001872122288,786.0384521,-0.00144766469,786.0384521,-0.001157577848,786.0384521,0.0002440179087,786.0384521,0.0005132335937,786.0384521,0.0004721059522,786.0384521,6.298512744E-5,786.0384521,0.0007037881878,
785.4802856,-0.002024938818,785.4802856,-0.001634673099,785.4802856,-0.001358697773,785.4802856,0.0001588912564,785.4802856,0.0001075695181,785.4802856,0.0002526946773,785.4802856,-0.0004422694619,785.4802856,0.0009812280769,
785.0615845,-0.001637922483,785.0615845,-0.00168949645,785.0615845,-0.00166448392,785.0615845,0.0006368214381,785.0615845,0.0003102246847,785.0615845,0.0003823486913,785.0615845,-0.000365459593,785.0615845,0.0005430646124,
784.5031738,-0.001973559381,784.5031738,-0.001984845847,784.5031738,-0.001578243799,784.5031738,-0.0002573338279,784.5031738,0.0004092428426,784.5031738,0.0006816721871,784.5031738,-0.0004598019295,784.5031738,0.0007493459852,
783.9447021,-0.002152253641,783.9447021,-0.002210977953,783.9447021,-0.002623626729,783.9447021,-0.000726528815,783.9447021,-0.0001095873595,783.9447021,-0.0004804366035,783.9447021,-0.0008811956504,783.9447021,0.0005221230676,
