is_2_1_7uM,,mbg_3_127_5_15uM,,mbg_3_127_5_31uM1,,mbg_3_127_5_62uM3,,mbg_3_127_5_125uM2,,mbg_3_127_5_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
782.96698,-0.00291469,782.96698,-0.00266716,782.96698,-0.002430042,782.96698,0.007303128,782.96698,0.006414413,782.96698,-0.002522959
782.5478516,-0.002714599,782.5478516,-0.002808329,782.5478516,-0.002263205,782.5478516,0.007503823,782.5478516,0.006188355,782.5478516,-0.00289772
781.9889526,-0.002857398,781.9889526,-0.002824275,781.9889526,-0.002422937,781.9889526,0.007078187,781.9889526,0.006226194,781.9889526,-0.002410272
781.5697021,-0.003081483,781.5697021,-0.003112634,781.5697021,-0.002449399,781.5697021,0.00674495,781.5697021,0.00632074,781.5697021,-0.003064159
781.0105591,-0.003223443,781.0105591,-0.002617143,781.0105591,-0.002103053,781.0105591,0.0069638,781.0105591,0.00639513,781.0105591,-0.003158328
780.4512939,-0.003218458,780.4512939,-0.002914125,780.4512939,-0.002156787,780.4512939,0.006925634,780.4512939,0.006305243,780.4512939,-0.002782455
780.0317383,-0.0028844,780.0317383,-0.002551988,780.0317383,-0.002623061,780.0317383,0.007118708,780.0317383,0.006126287,780.0317383,-0.003008275
779.47229,-0.003123171,779.47229,-0.003411743,779.47229,-0.002232096,779.47229,0.006722156,779.47229,0.00589857,779.47229,-0.003179298
779.0526123,-0.003046886,779.0526123,-0.00314404,779.0526123,-0.002653576,779.0526123,0.007240532,779.0526123,0.006217791,779.0526123,-0.004035402
778.4929199,-0.003252426,778.4929199,-0.002930272,778.4929199,-0.002828441,778.4929199,0.007659055,778.4929199,0.006177564,778.4929199,-0.003099475
777.9331055,-0.003004727,777.9331055,-0.003406196,777.9331055,-0.002862799,777.9331055,0.006801848,777.9331055,0.006112662,777.9331055,-0.00331131
777.5131836,-0.003265066,777.5131836,-0.003337769,777.5131836,-0.002782558,777.5131836,0.007428532,777.5131836,0.006106913,777.5131836,-0.003111966
776.953186,-0.003403062,776.953186,-0.003396436,776.953186,-0.003126924,776.953186,0.006785204,776.953186,0.006244865,776.953186,-0.003581221
776.5330811,-0.003351846,776.5330811,-0.003107597,776.5330811,-0.002783432,776.5330811,0.007006126,776.5330811,0.005961472,776.5330811,-0.003470092
775.9728394,-0.003280122,775.9728394,-0.00324703,775.9728394,-0.003197697,775.9728394,0.007109683,775.9728394,0.005582808,775.9728394,-0.003235468
775.5526123,-0.003598935,775.5526123,-0.003202116,775.5526123,-0.003034547,775.5526123,0.007056428,775.5526123,0.005669477,775.5526123,-0.003111812
774.9921875,-0.003873029,774.9921875,-0.003327751,774.9921875,-0.00336885,774.9921875,0.007007468,774.9921875,0.005801729,774.9921875,-0.003648018
774.4316406,-0.003594571,774.4316406,-0.003481391,774.4316406,-0.003346913,774.4316406,0.006864013,774.4316406,0.005774682,774.4316406,-0.003633797
774.0111694,-0.004049507,774.0111694,-0.003365511,774.0111694,-0.003334738,774.0111694,0.006604263,774.0111694,0.005842604,774.0111694,-0.003443436
773.4503784,-0.003764336,773.4503784,-0.003505375,773.4503784,-0.003687136,773.4503784,0.006677913,773.4503784,0.005684505,773.4503784,-0.003409329
773.0297241,-0.003497928,773.0297241,-0.003404244,773.0297241,-0.00330237,773.0297241,0.006386014,773.0297241,0.005536793,773.0297241,-0.003411641
772.46875,-0.004391692,772.46875,-0.00332924,772.46875,-0.003526636,772.46875,0.006599795,772.46875,0.005832713,772.46875,-0.003917207
772.0479736,-0.003705821,772.0479736,-0.004164693,772.0479736,-0.003074955,772.0479736,0.006424448,772.0479736,0.005458775,772.0479736,-0.003670504
771.4868164,-0.003546817,771.4868164,-0.003925621,771.4868164,-0.003654435,771.4868164,0.00670817,771.4868164,0.005849767,771.4868164,-0.003948811
771.0658569,-0.003439943,771.0658569,-0.004425209,771.0658569,-0.003952402,771.0658569,0.00629395,771.0658569,0.005367273,771.0658569,-0.003978874
770.5044556,-0.003877031,770.5044556,-0.003967946,770.5044556,-0.003912743,770.5044556,0.006223096,770.5044556,0.00533538,770.5044556,-0.004177461
769.9429321,-0.003842703,769.9429321,-0.003560938,769.9429321,-0.003930649,769.9429321,0.006253085,769.9429321,0.005360355,769.9429321,-0.00403689
769.5217285,-0.004085564,769.5217285,-0.004128695,769.5217285,-0.00376449,769.5217285,0.00652311,769.5217285,0.005038018,769.5217285,-0.00397082
768.960022,-0.004337978,768.960022,-0.00418182,768.960022,-0.003559141,768.960022,0.00602223,768.960022,0.005048886,768.960022,-0.004209149
768.5386963,-0.004159565,768.5386963,-0.003960559,768.5386963,-0.003712033,768.5386963,0.006195498,768.5386963,0.005258551,768.5386963,-0.004091616
767.9767456,-0.004436175,767.9767456,-0.004704211,767.9767456,-0.004361145,767.9767456,0.006378475,767.9767456,0.004997429,767.9767456,-0.003998521
767.5552368,-0.003976821,767.5552368,-0.004381851,767.5552368,-0.00370228,767.5552368,0.006677045,767.5552368,0.004940112,767.5552368,-0.004275285
766.993103,-0.004667386,766.993103,-0.004158078,766.993103,-0.00444294,766.993103,0.005969791,766.993103,0.004873457,766.993103,-0.004318038
766.4309082,-0.004337157,766.4309082,-0.004295278,766.4309082,-0.003912332,766.4309082,0.006123478,766.4309082,0.004900343,766.4309082,-0.004096334
766.0091553,-0.004736321,766.0091553,-0.004440736,766.0091553,-0.004200227,766.0091553,0.005832267,766.0091553,0.004907778,766.0091553,-0.004111873
765.4466553,-0.004545827,765.4466553,-0.004554332,765.4466553,-0.004303992,765.4466553,0.005867791,765.4466553,0.004699853,765.4466553,-0.004620416
765.0247803,-0.004891153,765.0247803,-0.00486525,765.0247803,-0.004379135,765.0247803,0.005874797,765.0247803,0.004705558,765.0247803,-0.00427344
764.4620972,-0.004666618,764.4620972,-0.0048717,764.4620972,-0.004142181,764.4620972,0.005332287,764.4620972,0.00477428,764.4620972,-0.004443452
