is_2_7_7uM,,is_2_7_15uM,,is_2_7_31uM,,is_2_7_62uM,,is_2_7_125uM,,is_2_7_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
785.0615845,-0.001650764956,785.0615845,-0.001507928944,785.0615845,-0.001312710694,785.0615845,-0.000458612456,785.0615845,-0.0007785728667,785.0615845,-0.000407978252,
784.5031738,-0.001508548041,784.5031738,-0.001433577738,784.5031738,-0.001359420363,784.5031738,-0.0005157045671,784.5031738,-0.001165632624,784.5031738,-0.001070462284,
783.9447021,-0.00252331933,783.9447021,-0.001942378236,783.9447021,-0.001859286334,783.9447021,-0.001270177192,783.9447021,-0.001708783559,783.9447021,-0.0009633384179,
783.5256958,-0.002413824666,783.5256958,-0.00152990676,783.5256958,-0.001750088064,783.5256958,-0.002177804708,783.5256958,-0.001802989282,783.5256958,-0.0012842695,
782.96698,-0.002659955993,782.96698,-0.001626678626,782.96698,-0.001721933368,782.96698,-0.001657624496,782.96698,-0.00189299928,782.96698,-0.001268525375,
782.5478516,-0.002575302962,782.5478516,-0.002050755313,782.5478516,-0.001997935819,782.5478516,-0.00125200639,782.5478516,-0.0019929884,782.5478516,-0.001138214604,
781.9889526,-0.001784479711,781.9889526,-0.001045723911,781.9889526,-0.001181277214,781.9889526,-0.0011565967,781.9889526,-0.001221186365,781.9889526,-0.0009142612689,
781.5697021,-0.001424495829,781.5697021,-0.001636426779,781.5697021,-0.001135942526,781.5697021,-0.001448283903,781.5697021,-0.001197850564,781.5697021,-0.0005629137158,
781.0105591,-0.001808505855,781.0105591,-0.001486878609,781.0105591,-0.001505504013,781.0105591,-0.001333356369,781.0105591,-0.001047015074,781.0105591,-0.000134068614,
780.4512939,-0.001565347542,780.4512939,-0.001295367372,780.4512939,-0.001466962509,780.4512939,-0.0009596190648,780.4512939,-0.001014837646,780.4512939,-0.0006753572379,
780.0317383,-0.001801030128,780.0317383,-0.001137543353,780.0317383,-0.001568648964,780.0317383,-0.001365665114,780.0317383,-0.001727450988,780.0317383,-0.00110103481,
779.47229,-0.00217533228,779.47229,-0.001430688077,779.47229,-0.001597742084,779.47229,-0.001127680647,779.47229,-0.001514223171,779.47229,-0.0009596707532,
779.0526123,-0.002309349133,779.0526123,-0.001519330661,779.0526123,-0.001563129365,779.0526123,-0.001928101177,779.0526123,-0.001967890188,779.0526123,-0.0008848640136,
778.4929199,-0.00209156354,778.4929199,-0.001987010473,778.4929199,-0.001525521628,778.4929199,-0.001479758532,778.4929199,-0.00155430811,778.4929199,-0.0007925777463,
777.9331055,-0.001859956537,777.9331055,-0.001920524403,777.9331055,-0.001545899315,777.9331055,-0.001397816581,777.9331055,-0.001775044249,777.9331055,-0.0009110581595,
777.5131836,-0.002136643976,777.5131836,-0.002142568585,777.5131836,-0.002243427327,777.5131836,-0.001935935579,777.5131836,-0.001709711854,777.5131836,-0.001095715677,
776.953186,-0.002652237657,776.953186,-0.001727605704,776.953186,-0.002070593182,776.953186,-0.001578450087,776.953186,-0.002360328333,776.953186,-0.0009299149388,
776.5330811,-0.0022041786,776.5330811,-0.001721624052,776.5330811,-0.001812682021,776.5330811,-0.001992266858,776.5330811,-0.001578243799,776.5330811,-0.001385689131,
775.9728394,-0.002019888954,775.9728394,-0.002006645082,775.9728394,-0.001746684895,775.9728394,-0.001695942832,775.9728394,-0.002202581847,775.9728394,-0.001217779005,
775.5526123,-0.002600572072,775.5526123,-0.0016473094,775.5526123,-0.001728894887,775.5526123,-0.00174219883,775.5526123,-0.001946295379,775.5526123,-0.001257581636,
774.9921875,-0.003140955931,774.9921875,-0.001752717886,774.9921875,-0.001992215402,774.9921875,-0.001959695714,774.9921875,-0.001700841938,774.9921875,-0.001778911334,
774.4316406,-0.002421907615,774.4316406,-0.002257436514,774.4316406,-0.002270724159,774.4316406,-0.001645297976,774.4316406,-0.001869802596,774.4316406,-0.001515822485,
774.0111694,-0.002201860771,774.0111694,-0.002231941558,774.0111694,-0.002214016858,774.0111694,-0.001966189593,774.0111694,-0.001962169539,774.0111694,-0.001231872942,
