is_2_5_7uM,,is_2_5_15uM1,,is_2_5_31uM,,is_2_5_62uM,,is_2_5_125uM,,is_2_5_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
783.9447021,-0.002480286639,783.9447021,-0.001583660021,783.9447021,-0.002337774727,783.9447021,0.001432923484,783.9447021,1.793934644E-5,783.9447021,0.001350004342,
783.5256958,-0.002179350238,783.5256958,-0.001780870603,783.5256958,-0.002408676082,783.5256958,0.00145455834,783.5256958,-0.0001294105605,783.5256958,0.001483415021,
782.96698,-0.001436364255,782.96698,-0.001245759893,782.96698,-0.001509321854,782.96698,0.002266005147,782.96698,0.0004952219315,782.96698,0.001674863626,
782.5478516,-0.00187959685,782.5478516,-0.001131863217,782.5478516,-0.001891710563,782.5478516,0.001865408733,782.5478516,0.0005427276483,782.5478516,0.001884855214,
781.9889526,-0.001504420536,781.9889526,-0.001206420944,781.9889526,-0.001989638666,781.9889526,0.001771984156,781.9889526,0.000438263407,781.9889526,0.001909450511,
781.5697021,-0.001315601054,781.5697021,-0.001079345006,781.5697021,-0.002009221585,781.5697021,0.001801017905,781.5697021,-4.198501119E-5,781.5697021,0.001625882811,
781.0105591,-0.001669641235,781.0105591,-0.001405350864,781.0105591,-0.001715745311,781.0105591,0.002406100975,781.0105591,0.0001566124556,781.0105591,0.001261337544,
780.4512939,-0.001835727016,780.4512939,-0.001280759345,780.4512939,-0.00190954539,780.4512939,0.002245136537,780.4512939,7.388483937E-5,780.4512939,0.001656413893,
780.0317383,-0.002109647729,780.0317383,-0.001517267083,780.0317383,-0.002158280928,780.0317383,0.001920604613,780.0317383,0.00022547353,780.0317383,0.002155090217,
779.47229,-0.002017776016,779.47229,-0.001918978058,779.47229,-0.002096664393,779.47229,0.001072380692,779.47229,0.0003895254922,779.47229,0.00192406273,
779.0526123,-0.001872122288,779.0526123,-0.001966550248,779.0526123,-0.002535260748,779.0526123,0.001806294662,779.0526123,0.0004170937464,779.0526123,0.001453493373,
778.4929199,-0.002362439642,778.4929199,-0.001720695756,778.4929199,-0.002457224298,778.4929199,0.001871700049,778.4929199,2.788008351E-5,778.4929199,0.002270689234,
777.9331055,-0.002206702717,777.9331055,-0.001439305488,777.9331055,-0.002432101406,777.9331055,0.001567165018,777.9331055,7.81763265E-6,777.9331055,0.00178066548,
777.5131836,-0.002362027531,777.5131836,-0.002436786424,777.5131836,-0.002455422422,777.5131836,0.001588468789,777.5131836,7.611141336E-5,777.5131836,0.001189249102,
776.953186,-0.00188794767,776.953186,-0.002281076042,776.953186,-0.00244610454,776.953186,0.001212039962,776.953186,-0.000421374396,776.953186,0.001581739751,
776.5330811,-0.002103001578,776.5330811,-0.002286123112,776.5330811,-0.002869947813,776.5330811,0.00162996212,776.5330811,-0.0002111264039,776.5330811,0.001893148758,
775.9728394,-0.002499075374,775.9728394,-0.002082340885,775.9728394,-0.002170695923,775.9728394,0.001405160758,775.9728394,-9.147138189E-5,775.9728394,0.00148767489,
775.5526123,-0.002644416178,775.5526123,-0.00238221162,775.5526123,-0.002649870701,775.5526123,0.001690637437,775.5526123,-0.0001408485987,775.5526123,0.001886831014,
774.9921875,-0.002134119626,774.9921875,-0.002471844433,774.9921875,-0.0025163705,774.9921875,0.001753816265,774.9921875,1.265842275E-5,774.9921875,0.001629546401,
774.4316406,-0.002592286328,774.4316406,-0.00218537706,774.4316406,-0.002756836591,774.4316406,0.001391500817,774.4316406,-0.000459543342,774.4316406,0.001598107745,
774.0111694,-0.002733531641,774.0111694,-0.002736361232,774.0111694,-0.002480698517,774.0111694,0.001819603727,774.0111694,-0.0005074825604,774.0111694,0.001497415593,
773.4503784,-0.002275204984,773.4503784,-0.002499590162,773.4503784,-0.002732451307,773.4503784,0.001270553912,773.4503784,-0.0002819102083,773.4503784,0.001202461426,
773.0297241,-0.002657743404,773.0297241,-0.002466078848,773.0297241,-0.002470711712,773.0297241,0.001581324148,773.0297241,-0.0004167711304,773.0297241,0.001096878201,
772.46875,-0.002486824291,772.46875,-0.002636491554,772.46875,-0.002234671498,772.46875,0.001061559771,772.46875,-0.0004343046458,772.46875,0.0008013919578,
772.0479736,-0.002244920935,772.0479736,-0.002677965211,772.0479736,-0.002824120456,772.0479736,0.001135080354,772.0479736,-0.000444493402,772.0479736,0.00188129337,
771.4868164,-0.002777722431,771.4868164,-0.002414493822,771.4868164,-0.002928832313,771.4868164,0.001005071681,771.4868164,-0.0004578366934,771.4868164,0.0009379287949,
771.0658569,-0.002588014817,771.0658569,-0.002769543091,771.0658569,-0.003274469636,771.0658569,0.00107622135,771.0658569,-0.001025632606,771.0658569,0.0008241105243,
770.5044556,-0.002826640848,770.5044556,-0.002828646917,770.5044556,-0.002907593735,770.5044556,0.001300696633,770.5044556,-0.0006312104524,770.5044556,0.0009686970152,
769.9429321,-0.002496089786,769.9429321,-0.003185721813,769.9429321,-0.002917518839,769.9429321,0.001226213411,769.9429321,-0.0002763224475,769.9429321,0.001073392807,
769.5217285,-0.002969815396,769.5217285,-0.002922507236,769.5217285,-0.003321020165,769.5217285,0.001597821945,769.5217285,-0.0006597461179,769.5217285,0.001224526088,
768.960022,-0.003244152525,768.960022,-0.003202835564,768.960022,-0.003302369732,768.960022,0.0006838759291,768.960022,-0.0007183624548,768.960022,0.0010495194,
768.5386963,-0.002806477481,768.5386963,-0.003021128476,768.5386963,-0.003279761877,768.5386963,0.001326037804,768.5386963,-0.0008878606604,768.5386963,0.001153507852,
767.9767456,-0.002911244985,767.9767456,-0.002844386036,767.9767456,-0.003459768603,767.9767456,0.001074820058,767.9767456,-0.0009789902251,767.9767456,0.001084162155,
767.5552368,-0.003215529257,767.5552368,-0.002958502853,767.5552368,-0.00344225415,767.5552368,0.001182266744,767.5552368,-0.0007725780597,767.5552368,0.001068981248,
766.993103,-0.002980973106,766.993103,-0.003119624685,766.993103,-0.003367411438,766.993103,0.000614242279,766.993103,-0.00108538731,766.993103,0.001064725569,
766.4309082,-0.002968478482,766.4309082,-0.0032112638,766.4309082,-0.003615724389,766.4309082,0.001112708822,766.4309082,-0.0009861186845,766.4309082,0.001044174074,
766.0091553,-0.003348300699,766.0091553,-0.003018917749,766.0091553,-0.003436809639,766.0091553,0.0008797968039,766.0091553,-0.000655093696,766.0091553,0.0009525343776,
765.4466553,-0.003221541643,765.4466553,-0.003556830343,765.4466553,-0.003403627314,765.4466553,0.0008336029132,765.4466553,-0.0008420819649,765.4466553,0.0008422395331,
765.0247803,-0.003294559894,765.0247803,-0.003347581485,765.0247803,-0.003455608385,765.0247803,0.0006676201592,765.0247803,-0.001183858723,765.0247803,0.0008386863046,
764.4620972,-0.003113456536,764.4620972,-0.003286441555,764.4620972,-0.003595186863,764.4620972,0.0006776017253,764.4620972,-0.0006944827037,764.4620972,0.0006659609498,
764.0400391,-0.003663983895,764.0400391,-0.003580502002,764.0400391,-0.003725583898,764.0400391,0.0005976521061,764.0400391,-0.0008080290281,764.0400391,0.000808860932,
763.4771729,-0.003385031829,763.4771729,-0.003451294033,763.4771729,-0.003693296341,763.4771729,0.0005717831082,763.4771729,-0.0007990890299,763.4771729,0.0003276328207,
763.0549316,-0.00336391828,763.0549316,-0.003528998001,763.0549316,-0.003680206137,763.0549316,0.000417896983,763.0549316,-0.000886517344,763.0549316,0.0006202822551,
762.4918823,-0.003681232687,762.4918823,-0.003467832226,762.4918823,-0.004017551895,762.4918823,0.000436164526,762.4918823,-0.001298309653,762.4918823,0.0005287060631,
762.069519,-0.003669117577,762.069519,-0.003596008522,762.069519,-0.004130745772,762.069519,0.0001282839221,762.069519,-0.001364013646,762.069519,0.0005610263906,
761.5062256,-0.004140130244,761.5062256,-0.003822791623,761.5062256,-0.003981028218,761.5062256,0.0002500268747,761.5062256,-0.000819500885,761.5062256,0.0003308192245,
760.9428711,-0.003697454231,760.9428711,-0.004264365416,760.9428711,-0.003876775037,760.9428711,8.641595923E-5,760.9428711,-0.001312504173,760.9428711,0.0005396693014,
760.5202026,-0.003947784659,760.5202026,-0.00407751184,760.5202026,-0.004098385572,760.5202026,0.0002277526801,760.5202026,-0.00165963592,760.5202026,8.064227586E-5,
759.956604,-0.004219915718,759.956604,-0.004223555792,759.956604,-0.004549874924,759.956604,-0.0001672429207,759.956604,-0.001411027391,759.956604,0.0002443287231,
759.5338745,-0.004190484993,759.5338745,-0.004189869389,759.5338745,-0.004743183032,759.5338745,-0.0003385082819,759.5338745,-0.001638386748,759.5338745,0.0001163989073,
758.9700317,-0.004481576849,758.9700317,-0.004573594779,758.9700317,-0.004701905884,758.9700317,-0.0003595625167,758.9700317,-0.00187521521,758.9700317,-0.0003547517117,
758.5471191,-0.004268774297,758.5471191,-0.004484804813,758.5471191,-0.004641417414,758.5471191,-0.0001059124697,758.5471191,-0.002153283916,758.5471191,-0.0003853228409,
757.9831543,-0.004574055783,757.9831543,-0.00447419798,757.9831543,-0.004562580492,757.9831543,-0.0002584721078,757.9831543,-0.002025557216,757.9831543,-0.0006254721084,
757.5600586,-0.004547927994,757.5600586,-0.004448730499,757.5600586,-0.004454264883,757.5600586,-0.0003634422028,757.5600586,-0.001478055841,757.5600586,-0.0001552362955,
756.9958496,-0.004846818745,756.9958496,-0.004910145421,756.9958496,-0.005222905427,756.9958496,-0.0004458898038,756.9958496,-0.002242912306,756.9958496,-0.0006743751001,
756.4315186,-0.004622926004,756.4315186,-0.004686746281,756.4315186,-0.004844515119,756.4315186,-0.0007106094272,756.4315186,-0.002049673116,756.4315186,-0.0007643608842,
756.0081787,-0.004695555195,756.0081787,-0.005055960733,756.0081787,-0.005120075308,756.0081787,-0.0007964535034,756.0081787,-0.002141435165,756.0081787,-0.0004875731538,
755.4436646,-0.004860385787,755.4436646,-0.004716450814,755.4436646,-0.00509474799,755.4436646,-0.001032811822,755.4436646,-0.002292406047,755.4436646,-0.00051472208,
755.0202026,-0.004782714881,755.0202026,-0.004943110514,755.0202026,-0.005157885142,755.0202026,-0.0008491092594,755.0202026,-0.002164565725,755.0202026,-0.001005540369,
754.4554443,-0.004984620027,754.4554443,-0.005135373678,754.4554443,-0.005744455382,754.4554443,-0.001157319639,754.4554443,-0.001974384068,754.4554443,-0.0007873582654,
754.0317993,-0.004944850691,754.0317993,-0.005161568522,754.0317993,-0.005329853389,754.0317993,-0.001389611163,754.0317993,-0.002598101739,754.0317993,-0.001045775483,
753.4669189,-0.005140847992,753.4669189,-0.005265462678,753.4669189,-0.005782721564,753.4669189,-0.001428056392,753.4669189,-0.002410014626,753.4669189,-0.0009827611502,
753.0430908,-0.005482838489,753.0430908,-0.005591306835,753.0430908,-0.005769847427,753.0430908,-0.001273584203,753.0430908,-0.002893091179,753.0430908,-0.000795523345,
752.4779663,-0.005138648208,752.4779663,-0.005560384132,752.4779663,-0.005841671955,752.4779663,-0.001146527939,752.4779663,-0.003128311597,752.4779663,-0.001062560594,
752.0540161,-0.005462235771,752.0540161,-0.005165405571,752.0540161,-0.005882074591,752.0540161,-0.001650042948,752.0540161,-0.002860227367,752.0540161,-0.0009179810295,
751.4887085,-0.005585940089,751.4887085,-0.005475988146,751.4887085,-0.005858221557,751.4887085,-0.001979640685,751.4887085,-0.003363044932,751.4887085,-0.001325511141,
751.0646362,-0.005611852277,751.0646362,-0.00548963761,751.0646362,-0.006249662023,751.0646362,-0.001548169181,751.0646362,-0.003045394784,751.0646362,-0.001623171265,
750.4990845,-0.005788953975,750.4990845,-0.005448380485,750.4990845,-0.006212713197,750.4990845,-0.001935935579,750.4990845,-0.003299492411,750.4990845,-0.001896246686,
749.9334106,-0.005719930865,749.9334106,-0.005760191474,749.9334106,-0.006586650386,749.9334106,-0.002376753837,749.9334106,-0.003090582089,749.9334106,-0.001670878963,
749.5090942,-0.005821954459,749.5090942,-0.006125738379,749.5090942,-0.006434971932,749.5090942,-0.001693467493,749.5090942,-0.003312696936,749.5090942,-0.001861915458,
748.9432373,-0.006035120692,748.9432373,-0.005944381934,748.9432373,-0.006472666748,748.9432373,-0.00229039765,748.9432373,-0.003605866572,748.9432373,-0.001880060765,
748.5187378,-0.006049212534,748.5187378,-0.005968741141,748.5187378,-0.006472054869,748.5187378,-0.00225975411,748.5187378,-0.003470348893,748.5187378,-0.001924647833,
747.9526978,-0.006021386012,747.9526978,-0.006388294976,747.9526978,-0.006353755482,747.9526978,-0.002350905444,747.9526978,-0.003761923872,747.9526978,-0.001878359704,
747.5280762,-0.006580735557,747.5280762,-0.00645563053,747.5280762,-0.006760908756,747.5280762,-0.002260011621,747.5280762,-0.00387857086,747.5280762,-0.002050858224,
746.961792,-0.006119459402,746.961792,-0.006695710123,746.961792,-0.00672119949,746.961792,-0.002812444232,746.961792,-0.003818993922,746.961792,-0.002143238205,
746.5369873,-0.006410639267,746.5369873,-0.00634457171,746.5369873,-0.00706602307,746.5369873,-0.002262020251,746.5369873,-0.003757766448,746.5369873,-0.002037460916,
745.97052,-0.006764578633,745.97052,-0.006665937137,745.97052,-0.007091235835,745.97052,-0.002500619739,745.97052,-0.004000213929,745.97052,-0.002059669467,
745.5455933,-0.007062508259,745.5455933,-0.007004538551,745.5455933,-0.007176388055,745.5455933,-0.002797012683,745.5455933,-0.004338438623,745.5455933,-0.002421650337,
744.9789429,-0.006931479089,744.9789429,-0.006769115105,744.9789429,-0.007458005566,744.9789429,-0.0027681028,744.9789429,-0.004329827614,744.9789429,-0.002289831173,
744.553833,-0.006739652716,744.553833,-0.007170990109,744.553833,-0.007425078191,744.553833,-0.003037529066,744.553833,-0.004292458296,744.553833,-0.002771497937,
743.9869995,-0.00769915944,743.9869995,-0.007729726378,743.9869995,-0.008115368895,743.9869995,-0.003494949546,743.9869995,-0.005495414604,743.9869995,-0.003401418449,
743.5617676,-0.008113082498,743.5617676,-0.007866920903,743.5617676,-0.00838373322,743.5617676,-0.003673686413,743.5617676,-0.005323869642,743.5617676,-0.003029251704,
742.9946899,-0.007567355409,742.9946899,-0.007454595994,742.9946899,-0.007892342284,742.9946899,-0.003260338912,742.9946899,-0.004680241924,742.9946899,-0.002496758942,
742.5693359,-0.007292070892,742.5693359,-0.007301488891,742.5693359,-0.00782695692,742.5693359,-0.00324137765,742.5693359,-0.004865454044,742.5693359,-0.002752360888,
742.0020142,-0.007481058128,742.0020142,-0.007777124178,742.0020142,-0.007844397798,742.0020142,-0.003544660285,742.0020142,-0.005159726832,742.0020142,-0.002844283124,
741.4346313,-0.008181675337,741.4346313,-0.008209007792,741.4346313,-0.008611787111,741.4346313,-0.003833157709,741.4346313,-0.005921349861,741.4346313,-0.003594622016,
741.0090332,-0.008603310212,741.0090332,-0.008361744694,741.0090332,-0.008866250515,741.0090332,-0.004253240768,741.0090332,-0.006117979065,741.0090332,-0.00391084468,
740.4414673,-0.00840435084,740.4414673,-0.008721303195,740.4414673,-0.008912104182,740.4414673,-0.004410705529,740.4414673,-0.005922473501,740.4414673,-0.003771778196,
740.015686,-0.008494729176,740.015686,-0.008749769069,740.015686,-0.008824856952,740.015686,-0.004516521469,740.015686,-0.006125993561,740.015686,-0.004059970845,
739.447876,-0.008945477195,739.447876,-0.008925342001,739.447876,-0.009073111229,739.447876,-0.004701957107,739.447876,-0.00629012892,739.447876,-0.003925569821,
739.0219727,-0.008169278502,739.0219727,-0.008087826893,739.0219727,-0.008568033576,739.0219727,-0.00404227525,739.0219727,-0.005996723659,739.0219727,-0.00373985339,
738.4539795,-0.008826175705,738.4539795,-0.008367381059,738.4539795,-0.008662844077,738.4539795,-0.004074434284,738.4539795,-0.005968230311,738.4539795,-0.003883342724,
738.0279541,-0.008612091653,738.0279541,-0.00855717063,738.0279541,-0.008846315555,738.0279541,-0.004165872466,738.0279541,-0.00599876605,738.0279541,-0.003822175786,
737.4597778,-0.009042233229,737.4597778,-0.009238468483,737.4597778,-0.009815660305,737.4597778,-0.005052839406,737.4597778,-0.006883275695,737.4597778,-0.00462815119,
737.0335693,-0.009179470129,737.0335693,-0.009362065233,737.0335693,-0.00973709859,737.0335693,-0.005036412273,737.0335693,-0.006863045041,737.0335693,-0.004332800396,
