is_2_3_31uM,,is_2_3_15uM,,is_2_3_62uM,,is_2_3_125uM,,is_2_3_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
781.5697021,-0.002476837719,781.5697021,-0.002677244833,781.5697021,-0.002146071754,781.5697021,-0.002117633587,781.5697021,-0.002776745008,
781.0105591,-0.001952789375,781.0105591,-0.002720978344,781.0105591,-0.002434727037,781.0105591,-0.00241603842,781.0105591,-0.00296626729,
780.4512939,-0.002206548117,780.4512939,-0.002564906841,780.4512939,-0.002592955483,780.4512939,-0.002881262684,780.4512939,-0.002234980464,
780.0317383,-0.002380460966,780.0317383,-0.002146071754,780.0317383,-0.002711357316,780.0317383,-0.003302164143,780.0317383,-0.003080712166,
779.47229,-0.002265316434,779.47229,-0.002510348335,779.47229,-0.002648789901,779.47229,-0.002765787765,779.47229,-0.00292147859,
779.0526123,-0.00274984003,779.0526123,-0.003204634413,779.0526123,-0.002396164928,779.0526123,-0.003081072122,779.0526123,-0.002758019837,
778.4929199,-0.002187128644,778.4929199,-0.002462320728,778.4929199,-0.00262563373,778.4929199,-0.003146609757,778.4929199,-0.002806580393,
777.9331055,-0.002836259315,777.9331055,-0.002750303131,777.9331055,-0.003191940486,777.9331055,-0.002561561298,777.9331055,-0.002599594183,
777.5131836,-0.002753749955,777.5131836,-0.002971100854,777.5131836,-0.003031308297,777.5131836,-0.002892525401,777.5131836,-0.003254583804,
776.953186,-0.002456194721,776.953186,-0.002643181244,776.953186,-0.002988017397,776.953186,-0.003039996838,776.953186,-0.002984726569,
776.5330811,-0.002655479359,776.5330811,-0.002562539186,776.5330811,-0.003015010385,776.5330811,-0.003384877695,776.5330811,-0.003124353709,
775.9728394,-0.002474572742,775.9728394,-0.002892165445,775.9728394,-0.003531411523,775.9728394,-0.003177961335,775.9728394,-0.002935877303,
775.5526123,-0.002584515372,775.5526123,-0.00332687702,775.5526123,-0.00323814014,775.5526123,-0.003056653542,775.5526123,-0.002760746283,
774.9921875,-0.002817742294,774.9921875,-0.003391504288,774.9921875,-0.003086161101,774.9921875,-0.003411332378,774.9921875,-0.003180017229,
774.4316406,-0.002883936977,774.4316406,-0.003022208344,774.4316406,-0.002898233943,774.4316406,-0.003210955532,774.4316406,-0.003671222366,
774.0111694,-0.002830858575,774.0111694,-0.003027040977,774.0111694,-0.003295947099,774.0111694,-0.003198415972,774.0111694,-0.003458433319,
773.4503784,-0.002845414681,773.4503784,-0.003546354827,773.4503784,-0.003322766861,773.4503784,-0.003475125413,773.4503784,-0.003304681741,
773.0297241,-0.002842482878,773.0297241,-0.003502293723,773.0297241,-0.003377788467,773.0297241,-0.003702176968,773.0297241,-0.003909100313,
772.46875,-0.003511178074,772.46875,-0.003346297191,772.46875,-0.00343578239,772.46875,-0.004079614766,772.46875,-0.003554776311,
772.0479736,-0.00298786303,772.0479736,-0.002809975296,772.0479736,-0.003457149258,772.0479736,-0.003606996033,772.0479736,-0.003854966955,
771.4868164,-0.00279068551,771.4868164,-0.003461360931,771.4868164,-0.003894272028,771.4868164,-0.00419653533,771.4868164,-0.003700637026,
771.0658569,-0.003018969204,771.0658569,-0.003463620786,771.0658569,-0.003443435533,771.0658569,-0.003534081858,771.0658569,-0.003288753796,
770.5044556,-0.003307353472,770.5044556,-0.003383953124,770.5044556,-0.003130007768,770.5044556,-0.003735798411,770.5044556,-0.003921465483,
769.9429321,-0.003074594773,769.9429321,-0.00359477615,769.9429321,-0.00395527482,769.9429321,-0.003321996192,769.9429321,-0.003837878816,
769.5217285,-0.003311566543,769.5217285,-0.003521705745,769.5217285,-0.003948913421,769.5217285,-0.003908381797,769.5217285,-0.004085256252,
768.960022,-0.003863279708,768.960022,-0.004125360865,768.960022,-0.003585841972,768.960022,-0.004196176305,768.960022,-0.003777834354,
768.5386963,-0.003469681367,768.5386963,-0.003631229745,768.5386963,-0.00398205407,768.5386963,-0.003957481124,768.5386963,-0.003957993817,
767.9767456,-0.003247646848,767.9767456,-0.004047199618,767.9767456,-0.003988671582,767.9767456,-0.004251241218,767.9767456,-0.00412454037,
767.5552368,-0.003399826121,767.5552368,-0.003869693959,767.5552368,-0.003743292298,767.5552368,-0.003939678892,767.5552368,-0.003966407385,
766.993103,-0.003424584866,766.993103,-0.003992006183,766.993103,-0.004013088997,766.993103,-0.004193817731,766.993103,-0.003939422313,
766.4309082,-0.003561554477,766.4309082,-0.004245909397,766.4309082,-0.00386877032,766.4309082,-0.004153565504,766.4309082,-0.003882008605,
766.0091553,-0.003964303993,766.0091553,-0.004451958928,766.0091553,-0.004543727264,766.0091553,-0.003889500163,766.0091553,-0.003942295443,
765.4466553,-0.00354517391,765.4466553,-0.004008472431,765.4466553,-0.004028836731,765.4466553,-0.004072075244,765.4466553,-0.004095769953,
765.0247803,-0.004010472912,765.0247803,-0.003956660163,765.0247803,-0.00414351467,765.0247803,-0.00432864856,765.0247803,-0.003967177123,
764.4620972,-0.003944911528,764.4620972,-0.004002522212,764.4620972,-0.00423155399,764.4620972,-0.00428410247,764.4620972,-0.004072946962,
764.0400391,-0.003943372518,764.0400391,-0.004445297178,764.0400391,-0.004415574018,764.0400391,-0.004408142995,764.0400391,-0.00394763099,
763.4771729,-0.00408258941,763.4771729,-0.004516214132,763.4771729,-0.004373753443,763.4771729,-0.004713582806,763.4771729,-0.004375239834,
763.0549316,-0.003921208903,763.0549316,-0.00446881773,763.0549316,-0.004452727735,763.0549316,-0.004810262471,763.0549316,-0.004388411529,
762.4918823,-0.004649817944,762.4918823,-0.004588451236,762.4918823,-0.004713890143,762.4918823,-0.004849224817,762.4918823,-0.004874106031,
762.069519,-0.004100231919,762.069519,-0.004643363878,762.069519,-0.00457231421,762.069519,-0.004790446721,762.069519,-0.004519390408,
761.5062256,-0.004163667094,761.5062256,-0.004442171194,761.5062256,-0.004567754921,761.5062256,-0.004572723992,761.5062256,-0.004807907157,
760.9428711,-0.004338080063,760.9428711,-0.004785223864,760.9428711,-0.005084974691,760.9428711,-0.004600591958,760.9428711,-0.004461131524,
760.5202026,-0.004565193318,760.5202026,-0.004764844198,760.5202026,-0.004727615044,760.5202026,-0.005015481263,760.5202026,-0.004623745568,
759.956604,-0.004164949059,759.956604,-0.005271395668,759.956604,-0.005014048424,759.956604,-0.005208633374,759.956604,-0.005067014135,
759.5338745,-0.004443605896,759.5338745,-0.004796233028,759.5338745,-0.004793314263,759.5338745,-0.005161466077,759.5338745,-0.005239938851,
758.9700317,-0.004529484082,758.9700317,-0.005076224916,758.9700317,-0.005274924915,758.9700317,-0.005379660986,758.9700317,-0.005535133649,
758.5471191,-0.004848150071,758.5471191,-0.005040711258,758.5471191,-0.005182748195,758.5471191,-0.005328523461,758.5471191,-0.005440302659,
757.9831543,-0.004978017882,757.9831543,-0.00514437817,757.9831543,-0.005169600714,757.9831543,-0.005531913135,757.9831543,-0.005367030855,
757.5600586,-0.005013587885,757.5600586,-0.005495567806,757.5600586,-0.005434985273,757.5600586,-0.00540701719,757.5600586,-0.005408499856,
756.9958496,-0.005035542417,756.9958496,-0.005735616665,756.9958496,-0.005380172282,756.9958496,-0.005239018239,756.9958496,-0.005561764352,
756.4315186,-0.005192109849,756.4315186,-0.005758914165,756.4315186,-0.005922320299,756.4315186,-0.005893106572,756.4315186,-0.005897447933,
756.0081787,-0.005547861103,756.0081787,-0.005593913142,756.0081787,-0.005484269932,756.0081787,-0.005523120984,756.0081787,-0.005951940082,
755.4436646,-0.005650640931,755.4436646,-0.005844072904,755.4436646,-0.005909143481,755.4436646,-0.005758352112,755.4436646,-0.005651918706,
755.0202026,-0.005977728404,755.0202026,-0.00569729507,755.0202026,-0.006127575878,755.0202026,-0.005657233298,755.0202026,-0.005733879283,
754.4554443,-0.005647268146,754.4554443,-0.005881359335,754.4554443,-0.006094955839,754.4554443,-0.006171218585,754.4554443,-0.006125278771,
754.0317993,-0.005873953458,754.0317993,-0.0062110289,754.0317993,-0.006165144499,754.0317993,-0.006295180414,754.0317993,-0.005959548987,
753.4669189,-0.006032976322,753.4669189,-0.006134415977,753.4669189,-0.00620556809,753.4669189,-0.006017301232,753.4669189,-0.006260480732,
753.0430908,-0.005712010898,753.0430908,-0.006216949318,753.0430908,-0.006329112221,753.0430908,-0.006472973153,753.0430908,-0.006211131345,
752.4779663,-0.005760089029,752.4779663,-0.006412730552,752.4779663,-0.00641946448,752.4779663,-0.006216592155,752.4779663,-0.006430329755,
752.0540161,-0.006292476319,752.0540161,-0.006530504208,752.0540161,-0.006484857295,752.0540161,-0.00638691755,752.0540161,-0.006443388294,
751.4887085,-0.006292425096,751.4887085,-0.006497557275,751.4887085,-0.006390182301,751.4887085,-0.006612962112,751.4887085,-0.006577319,
751.0646362,-0.006610718556,751.0646362,-0.006511072628,751.0646362,-0.006831855979,751.0646362,-0.006990273949,751.0646362,-0.006752650719,
750.4990845,-0.006443286315,750.4990845,-0.006469759624,750.4990845,-0.006561357528,750.4990845,-0.006699686404,750.4990845,-0.006770542357,
749.9334106,-0.006500719581,749.9334106,-0.006902842782,749.9334106,-0.006849897094,749.9334106,-0.006954304874,749.9334106,-0.006945184898,
749.5090942,-0.006554829888,749.5090942,-0.007212949451,749.5090942,-0.006971270777,749.5090942,-0.006860547699,749.5090942,-0.006822121795,
