mbg_3_146_7uM,,mbg_3_146_15uM,,mbg_3_146_31uM,,mbg_3_146_62uM,,mbg_3_146_125uM,,mbg_3_146_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
782.96698,-0.002637366,782.96698,-0.002368619,782.96698,-0.001768548,782.96698,-0.002347764,782.96698,-0.002377372,782.96698,-0.001165684
782.5478516,-0.002520231,782.5478516,-0.002604792,782.5478516,-0.002186974,782.5478516,-0.002742998,782.5478516,-0.002365066,782.5478516,-0.000996656
781.9889526,-0.002304302,781.9889526,-0.002227924,781.9889526,-0.001754523,781.9889526,-0.002370163,781.9889526,-0.002440956,781.9889526,-0.001132483
781.5697021,-0.002767743,781.5697021,-0.002379277,781.5697021,-0.002390347,781.5697021,-0.002657126,781.5697021,-0.002228697,781.5697021,-0.001553844
781.0105591,-0.002529341,781.0105591,-0.002651723,781.0105591,-0.002212575,781.0105591,-0.002833893,781.0105591,-0.002133862,781.0105591,-0.001357253
780.4512939,-0.002271548,780.4512939,-0.002499539,780.4512939,-0.002095582,780.4512939,-0.002869433,780.4512939,-0.002338907,780.4512939,-0.002175332
780.0317383,-0.002536496,780.0317383,-0.002665256,780.0317383,-0.002826024,780.0317383,-0.002999586,780.0317383,-0.002142569,780.0317383,-0.001541927
779.47229,-0.002754419,779.47229,-0.002707859,779.47229,-0.002106041,779.47229,-0.0022596,779.47229,-0.002717274,779.47229,-0.001526657
779.0526123,-0.003086007,779.0526123,-0.002625634,779.0526123,-0.002704052,779.0526123,-0.002842637,779.0526123,-0.003049456,779.0526123,-0.001656696
778.4929199,-0.003030383,778.4929199,-0.003088166,778.4929199,-0.002706727,778.4929199,-0.002757042,778.4929199,-0.002886405,778.4929199,-0.001624667
777.9331055,-0.002909754,777.9331055,-0.002733429,777.9331055,-0.003048377,777.9331055,-0.002627332,777.9331055,-0.003137152,777.9331055,-0.000926867
777.5131836,-0.003389141,777.5131836,-0.002466182,777.5131836,-0.002279377,777.5131836,-0.002825149,777.5131836,-0.002940094,777.5131836,-0.001474496
776.953186,-0.003184797,776.953186,-0.002345653,776.953186,-0.002982773,776.953186,-0.003015833,776.953186,-0.002362697,776.953186,-0.001984537
776.5330811,-0.002912222,776.5330811,-0.002528312,776.5330811,-0.00296092,776.5330811,-0.00278297,776.5330811,-0.002716605,776.5330811,-0.00149436
775.9728394,-0.003359038,775.9728394,-0.002670299,775.9728394,-0.002671688,775.9728394,-0.002756476,775.9728394,-0.00288332,775.9728394,-0.001938616
775.5526123,-0.002569436,775.5526123,-0.002847678,775.5526123,-0.002650385,775.5526123,-0.002653009,775.5526123,-0.003119316,775.5526123,-0.001606098
774.9921875,-0.003245026,774.9921875,-0.002849066,774.9921875,-0.003044984,774.9921875,-0.003221645,774.9921875,-0.003150002,774.9921875,-0.001997472
774.4316406,-0.003322459,774.4316406,-0.003124919,774.4316406,-0.003438556,774.4316406,-0.003218715,774.4316406,-0.002915051,774.4316406,-0.002061679
774.0111694,-0.002897565,774.0111694,-0.002577876,774.0111694,-0.002693092,774.0111694,-0.003248469,774.0111694,-0.002562591,774.0111694,-0.001818353
773.4503784,-0.002827875,773.4503784,-0.002964211,773.4503784,-0.002948785,773.4503784,-0.002795521,773.4503784,-0.002513488,773.4503784,-0.001906453
773.0297241,-0.002803134,773.0297241,-0.002949864,773.0297241,-0.002562642,773.0297241,-0.002988891,773.0297241,-0.003016296,773.0297241,-0.002212626
772.46875,-0.003018661,772.46875,-0.002792949,772.46875,-0.002387978,772.46875,-0.003343472,772.46875,-0.002979482,772.46875,-0.001969333
772.0479736,-0.002767846,772.0479736,-0.003031719,772.0479736,-0.002741763,772.0479736,-0.00301028,772.0479736,-0.00240152,772.0479736,-0.002021692
771.4868164,-0.002698958,771.4868164,-0.003126513,771.4868164,-0.002817279,771.4868164,-0.00325443,771.4868164,-0.00320741,771.4868164,-0.001776024
771.0658569,-0.003395049,771.0658569,-0.003187675,771.0658569,-0.003186801,771.0658569,-0.003532079,771.0658569,-0.002684397,771.0658569,-0.001927637
770.5044556,-0.003229199,770.5044556,-0.003269434,770.5044556,-0.003006784,770.5044556,-0.003168196,770.5044556,-0.00328377,770.5044556,-0.002444045
769.9429321,-0.003337769,769.9429321,-0.003062,769.9429321,-0.002900754,769.9429321,-0.003311053,769.9429321,-0.002893657,769.9429321,-0.002170438
769.5217285,-0.003388422,769.5217285,-0.002972798,769.5217285,-0.00342967,769.5217285,-0.003067501,769.5217285,-0.002755808,769.5217285,-0.002255274
768.960022,-0.003188805,768.960022,-0.003274161,768.960022,-0.002675392,768.960022,-0.003024419,768.960022,-0.002955315,768.960022,-0.002054259
768.5386963,-0.003196463,768.5386963,-0.003076137,768.5386963,-0.003015062,768.5386963,-0.003275549,768.5386963,-0.002780809,768.5386963,-0.0023749
767.9767456,-0.003341776,767.9767456,-0.003191118,767.9767456,-0.003432238,767.9767456,-0.002810593,767.9767456,-0.002986423,767.9767456,-0.00238216
767.5552368,-0.002987195,767.5552368,-0.002845826,767.5552368,-0.003079787,767.5552368,-0.003190604,767.5552368,-0.002982721,767.5552368,-0.001989329
766.993103,-0.003224625,766.993103,-0.003178578,766.993103,-0.002933615,766.993103,-0.002917005,766.993103,-0.002794081,766.993103,-0.001797473
766.4309082,-0.002820211,766.4309082,-0.003038866,766.4309082,-0.003177705,766.4309082,-0.003318759,766.4309082,-0.003103484,766.4309082,-0.002138705
766.0091553,-0.003377943,766.0091553,-0.00258256,766.0091553,-0.002719641,766.0091553,-0.003003236,766.0091553,-0.002911811,766.0091553,-0.002050858
765.4466553,-0.002841403,765.4466553,-0.002886303,765.4466553,-0.002992285,765.4466553,-0.002878434,765.4466553,-0.002833019,765.4466553,-0.001776024
765.0247803,-0.003153137,765.0247803,-0.003032439,765.0247803,-0.002632478,765.0247803,-0.00292585,765.0247803,-0.00295259,765.0247803,-0.001562871
764.4620972,-0.003393919,764.4620972,-0.00278086,764.4620972,-0.00287684,764.4620972,-0.002779935,764.4620972,-0.002503039,764.4620972,-0.001887845
